OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,Revenue,DiscountAmount,FinalAmount,Profit,ProfitMargin,Year,Month,MonthName,DayOfWeek,Quarter,Hour
ORD0000028,20-01-2021,CUST037985,Rohit Verma,P00019,LED Desk Lamp,Books,HomeEase,3,138.33,0,49.8,3.37,468.16,Debit Card,Delivered,San Antonio,TX,United Kingdom,SELL01796,414.99,0,468.16,361.82,0.871876431,2021,1,January,Wednesday,1,0
ORD0000029,30-04-2023,CUST000721,Vivaan Kumar,P00036,Smart Light Bulb,Electronics,Zenith,3,381.45,0,205.98,8.99,1359.32,Credit Card,Delivered,Denver,CO,United States,SELL01715,1144.35,0,1359.32,929.38,0.812146633,2023,4,April,Sunday,2,0
ORD0000030,13-08-2022,CUST008013,Priya Verma,P00045,Phone Tripod,Toys & Games,ReadMore,5,199.99,0,179.99,5.19,1185.13,UPI,Delivered,Phoenix,AZ,United States,SELL00874,999.95,0,1185.13,814.77,0.814810741,2022,8,August,Saturday,3,0
ORD0000031,03-10-2020,CUST018693,Sneha Verma,P00046,Car Charger,Books,Apex,2,269.8,0,97.13,1.49,638.22,Debit Card,Delivered,Charlotte,NC,United Kingdom,SELL01318,539.6,0,638.22,440.98,0.817234989,2020,10,October,Saturday,4,0
ORD0000032,30-03-2023,CUST044089,Sunita Gupta,P00006,Gaming Mouse,Sports & Outdoors,FitLife,4,126.5,0.1,22.77,7.01,485.18,Credit Card,Shipped,Houston,TX,India,SELL00384,506,50.6,485.18,425.62,0.841146245,2023,3,March,Thursday,1,0
ORD0000033,04-04-2021,CUST011946,Simran Patel,P00047,Memory Card 128GB,Electronics,CoreTech,2,151.95,0.05,14.44,3.5,306.64,Credit Card,Delivered,Washington,DC,United States,SELL01798,303.9,15.195,306.645,270.765,0.890967423,2021,4,April,Sunday,2,0
ORD0000034,30-08-2023,CUST049225,Mohit Patel,P00046,Car Charger,Clothing,HomeEase,1,218.74,0,10.94,12.22,241.9,Credit Card,Delivered,Austin,TX,United States,SELL00219,218.74,0,241.9,195.58,0.894120874,2023,8,August,Wednesday,3,0
ORD0000035,22-01-2020,CUST048518,Vikas Kumar,P00021,Backpack,Sports & Outdoors,BrightLux,5,294.8,0.1,159.19,4.08,1489.87,Credit Card,Shipped,Fort Worth,TX,United States,SELL01619,1474,147.4,1489.87,1163.33,0.789233379,2020,1,January,Wednesday,1,0
ORD0000036,09-09-2020,CUST047957,Pooja Verma,P00033,Puzzle 1000pc,Books,BrightLux,1,357.76,0.25,0,6.76,275.08,Amazon Pay,Delivered,Columbus,OH,United Kingdom,SELL01592,357.76,89.44,275.08,261.56,0.731104651,2020,9,September,Wednesday,3,0
ORD0000037,17-01-2022,CUST043577,Kabir Singh,P00032,Board Game,Electronics,CoreTech,5,448.89,0,179.56,3.3,2427.31,Credit Card,Delivered,Phoenix,AZ,United States,SELL00755,2244.45,0,2427.31,2061.59,0.918527924,2022,1,January,Monday,1,0
ORD0000038,06-05-2022,CUST029566,Sahil Kumar,P00015,Instant Pot,Electronics,ReadMore,4,300.89,0,144.43,0.43,1348.42,Credit Card,Delivered,Fort Worth,TX,United States,SELL01262,1203.56,0,1348.42,1058.7,0.8796404,2022,5,May,Friday,2,0
ORD0000039,03-05-2024,CUST004199,Mohit Joshi,P00040,Microphone,Home & Kitchen,FitLife,5,512.88,0.25,96.17,11.33,2030.8,Amazon Pay,Delivered,San Antonio,TX,United Kingdom,SELL00566,2564.4,641.1,2030.8,1815.8,0.708079863,2024,5,May,Friday,2,0
ORD0000040,19-04-2021,CUST042096,Sunita Gupta,P00010,Smartwatch,Books,HomeEase,2,81.82,0.1,7.36,4.47,159.11,Credit Card,Delivered,Jacksonville,FL,United States,SELL01049,163.64,16.364,159.106,135.446,0.827707162,2021,4,April,Monday,2,0
ORD0000041,18-12-2022,CUST017203,Sahil Kumar,P00035,Desk Plant,Sports & Outdoors,Zenith,3,215.9,0,77.72,8.45,733.87,UPI,Delivered,Chicago,IL,United States,SELL00369,647.7,0,733.87,561.53,0.866960012,2022,12,December,Sunday,4,0
ORD0000042,25-05-2021,CUST046853,Anjali Sharma,P00022,Water Bottle,Books,HomeEase,5,574.28,0.1,129.21,2.23,2715.7,Debit Card,Delivered,San Antonio,TX,United States,SELL01983,2871.4,287.14,2715.7,2452.82,0.85422442,2021,5,May,Tuesday,2,0
ORD0000043,01-09-2024,CUST020850,Sneha Sharma,P00031,Kids Toy Car,Home & Kitchen,FitLife,4,109.59,0,35.07,7.59,481.02,Amazon Pay,Delivered,San Diego,CA,India,SELL00959,438.36,0,481.02,395.7,0.902682727,2024,9,September,Sunday,3,0
ORD0000044,08-02-2024,CUST039744,Anjali Mehta,P00025,Running Shoes,Toys & Games,HomeEase,3,88.46,0.15,40.6,2.73,268.9,Credit Card,Cancelled,San Antonio,TX,United States,SELL00076,265.38,39.807,268.903,182.243,0.686724697,2024,2,February,Thursday,1,0
ORD0000045,30-11-2021,CUST017434,Pooja Verma,P00035,Desk Plant,Electronics,Apex,4,395.64,0.05,120.27,3.89,1627.59,Debit Card,Delivered,Houston,TX,United States,SELL00898,1582.56,79.128,1627.592,1379.272,0.871544839,2021,11,November,Tuesday,4,0
ORD0000046,02-09-2022,CUST045893,Rohit Kapoor,P00009,Portable SSD 1TB,Toys & Games,HomeEase,2,449.14,0.05,0,5.62,858.99,Debit Card,Delivered,New York,NY,United States,SELL00181,898.28,44.914,858.986,847.746,0.943743599,2022,9,September,Friday,3,0
ORD0000047,11-12-2024,CUST033696,Anjali Kumar,P00039,Graphic Tablet,Electronics,CoreTech,4,121.45,0,0,3.75,489.55,UPI,Delivered,Austin,TX,United States,SELL01805,485.8,0,489.55,482.05,0.992280774,2024,12,December,Wednesday,4,0
ORD0000048,08-07-2020,CUST032008,Neha Mehta,P00030,Dress Shirt,Toys & Games,FitLife,2,140.89,0.05,21.42,0.48,289.59,Debit Card,Delivered,San Diego,CA,Australia,SELL00438,281.78,14.089,289.591,245.791,0.872279793,2020,7,July,Wednesday,3,0
ORD0000049,15-08-2022,CUST011785,Simran Singh,P00014,Drone Mini,Books,ReadMore,3,249.84,0.2,47.97,3.26,650.85,Debit Card,Delivered,San Antonio,TX,Australia,SELL01660,749.52,149.904,650.846,548.386,0.731649589,2022,8,August,Monday,3,0
ORD0000050,17-11-2021,CUST001846,Pooja Singh,P00012,Noise Cancelling Headphones,Books,KiddoFun,3,482.37,0.15,61.5,8.73,1300.27,Net Banking,Delivered,San Jose,CA,India,SELL01908,1447.11,217.0665,1300.2735,1159.8135,0.80146879,2021,11,November,Wednesday,4,0
ORD0000051,15-08-2022,CUST048348,Sneha Reddy,P00047,Memory Card 128GB,Books,FitLife,3,244.83,0.25,0,8.07,558.94,Cash on Delivery,Delivered,San Jose,CA,Australia,SELL00078,734.49,183.6225,558.9375,542.7975,0.739012784,2022,8,August,Monday,3,0
ORD0000052,16-07-2021,CUST027076,Sahil Gupta,P00039,Graphic Tablet,Electronics,UrbanStyle,4,353.85,0.05,67.23,6.09,1417.95,Debit Card,Delivered,Columbus,OH,United States,SELL00659,1415.4,70.77,1417.95,1271.31,0.898198389,2021,7,July,Friday,3,0
ORD0000053,09-05-2024,CUST012995,Ritika Mehta,P00050,Novel Bestseller,Electronics,NexPro,3,324.76,0.3,34.1,0.75,716.85,Debit Card,Shipped,Seattle,WA,United States,SELL00962,974.28,292.284,716.846,647.146,0.664229995,2024,5,May,Thursday,2,0
ORD0000054,21-06-2023,CUST030633,Ritika Mehta,P00049,Children's Book,Sports & Outdoors,FitLife,1,491.78,0.1,53.11,5.14,500.85,Amazon Pay,Delivered,Charlotte,NC,India,SELL01002,491.78,49.178,500.852,384.352,0.781552727,2023,6,June,Wednesday,2,0
ORD0000055,11-04-2022,CUST013482,Vikas Kumar,P00044,Power Bank 20000mAh,Electronics,NexPro,4,549.22,0.05,104.35,8.22,2199.61,UPI,Delivered,Chicago,IL,United States,SELL01805,2196.88,109.844,2199.606,1974.466,0.898759149,2022,4,April,Monday,2,0
ORD0000056,08-03-2024,CUST030091,Arjun Reddy,P00044,Power Bank 20000mAh,Home & Kitchen,Apex,4,364.08,0.25,131.07,12.95,1236.26,Credit Card,Pending,Chicago,IL,United States,SELL01113,1456.32,364.08,1236.26,948.22,0.6511069,2024,3,March,Friday,1,0
ORD0000057,28-02-2023,CUST031856,Neha Verma,P00022,Water Bottle,Sports & Outdoors,HomeEase,2,509.59,0,183.45,3.79,1206.42,Credit Card,Shipped,San Jose,CA,United States,SELL00723,1019.18,0,1206.42,831.94,0.816283679,2023,2,February,Tuesday,1,0
ORD0000058,17-02-2024,CUST040925,Vivaan Verma,P00005,Laptop Sleeve,Clothing,UrbanStyle,5,182.55,0,45.64,12.08,970.47,UPI,Delivered,San Diego,CA,Canada,SELL01920,912.75,0,970.47,855.03,0.936762531,2024,2,February,Saturday,1,0
ORD0000059,08-10-2021,CUST031615,Arjun Singh,P00016,Air Fryer,Toys & Games,Apex,3,184.7,0.3,46.54,7.98,442.39,Debit Card,Delivered,Dallas,TX,United States,SELL00280,554.1,166.23,442.39,333.35,0.601606208,2021,10,October,Friday,4,0
ORD0000060,21-01-2020,CUST018312,Karan Kapoor,P00027,Winter Jacket,Electronics,NexPro,2,439.8,0,43.98,7.55,931.13,Amazon Pay,Delivered,Jacksonville,FL,India,SELL00446,879.6,0,931.13,828.07,0.941416553,2020,1,January,Tuesday,1,0
ORD0000061,20-04-2022,CUST017070,Aditya Mehta,P00037,Router,Books,BrightLux,4,593.02,0.05,405.63,9.18,2668.29,UPI,Shipped,Austin,TX,India,SELL00106,2372.08,118.604,2668.286,1838.666,0.775128158,2022,4,April,Wednesday,2,0
ORD0000062,15-06-2020,CUST026591,Sunita Kapoor,P00025,Running Shoes,Home & Kitchen,ReadMore,3,131.36,0,70.93,7.25,472.26,UPI,Delivered,Charlotte,NC,Canada,SELL00247,394.08,0,472.26,315.9,0.801613886,2020,6,June,Monday,2,0
ORD0000063,21-07-2023,CUST006724,Simran Reddy,P00004,USB-C Charger,Toys & Games,HomeEase,3,71.26,0.1,23.09,11.28,226.77,Credit Card,Returned,Fort Worth,TX,United States,SELL00011,213.78,21.378,226.772,158.032,0.739227243,2023,7,July,Friday,3,0
ORD0000064,22-01-2021,CUST026258,Pooja Reddy,P00037,Router,Books,CoreTech,5,107.11,0.05,25.44,12.92,547.13,UPI,Delivered,Chicago,IL,United States,SELL01006,535.55,26.7775,547.1325,470.4125,0.878372701,2021,1,January,Friday,1,0
ORD0000065,23-08-2021,CUST000139,Aarav Verma,P00039,Graphic Tablet,Toys & Games,Zenith,5,417.28,0.15,88.67,9.65,1871.76,Amazon Pay,Returned,Los Angeles,CA,India,SELL01242,2086.4,312.96,1871.76,1675.12,0.802875767,2021,8,August,Monday,3,0
ORD0000066,11-11-2020,CUST038107,Sahil Gupta,P00037,Router,Books,FitLife,2,559.03,0.1,50.31,11.62,1068.18,Amazon Pay,Delivered,Indianapolis,IN,United States,SELL01704,1118.06,111.806,1068.184,944.324,0.844609413,2020,11,November,Wednesday,4,0
ORD0000067,14-01-2020,CUST015763,Anjali Verma,P00046,Car Charger,Home & Kitchen,BrightLux,4,203.84,0.1,36.69,13.68,784.19,Net Banking,Delivered,Charlotte,NC,India,SELL01548,815.36,81.536,784.194,683.454,0.838223607,2020,1,January,Tuesday,1,0
ORD0000068,29-08-2020,CUST041458,Priya Mehta,P00008,4K Monitor,Clothing,Zenith,4,129.9,0.05,59.23,9.13,561.98,Net Banking,Delivered,Indianapolis,IN,United States,SELL00532,519.6,25.98,561.98,425.26,0.818437259,2020,8,August,Saturday,3,0
ORD0000069,15-02-2022,CUST033817,Mohit Joshi,P00050,Novel Bestseller,Books,NexPro,5,105.16,0,26.29,13.29,565.38,UPI,Delivered,Columbus,OH,United States,SELL01811,525.8,0,565.38,486.22,0.92472423,2022,2,February,Tuesday,1,0
ORD0000070,01-10-2023,CUST041366,Aarav Gupta,P00041,Webcam Full HD,Electronics,BrightLux,1,82.79,0,6.62,8.76,98.17,Debit Card,Delivered,Denver,CO,United States,SELL01501,82.79,0,98.17,67.41,0.814228772,2023,10,October,Sunday,4,0
ORD0000071,18-07-2021,CUST005372,Aman Singh,P00022,Water Bottle,Sports & Outdoors,Zenith,4,433.7,0.15,176.95,10.58,1662.11,Debit Card,Delivered,San Jose,CA,United States,SELL01168,1734.8,260.22,1662.11,1287.05,0.741901084,2021,7,July,Sunday,3,0
ORD0000072,16-06-2022,CUST018135,Aman Verma,P00011,Fitness Band,Home & Kitchen,Zenith,3,137.1,0,32.9,12.88,457.08,Amazon Pay,Shipped,Jacksonville,FL,United States,SELL01780,411.3,0,457.08,365.52,0.888694384,2022,6,June,Thursday,2,0
ORD0000073,25-09-2023,CUST043454,Priya Reddy,P00027,Winter Jacket,Toys & Games,CoreTech,5,582.66,0,233.06,14.07,3160.43,UPI,Shipped,Dallas,TX,United States,SELL00749,2913.3,0,3160.43,2666.17,0.915171798,2023,9,September,Monday,3,0
ORD0000074,01-04-2020,CUST007050,Kabir Kumar,P00039,Graphic Tablet,Home & Kitchen,CoreTech,2,522.56,0,83.61,0.43,1129.16,Credit Card,Shipped,Indianapolis,IN,United States,SELL00221,1045.12,0,1129.16,961.08,0.919588181,2020,4,April,Wednesday,2,0
ORD0000075,22-10-2023,CUST027444,Arjun Patel,P00010,Smartwatch,Sports & Outdoors,NexPro,2,354.18,0.05,80.75,2.49,756.18,Credit Card,Shipped,Houston,TX,United States,SELL01964,708.36,35.418,756.182,589.702,0.83248913,2023,10,October,Sunday,4,0
ORD0000076,13-08-2022,CUST042061,Mohit Reddy,P00010,Smartwatch,Clothing,CoreTech,4,437.47,0,314.98,8.82,2073.68,Credit Card,Shipped,Philadelphia,PA,Canada,SELL01119,1749.88,0,2073.68,1426.08,0.81495874,2022,8,August,Saturday,3,0
ORD0000077,18-01-2024,CUST016864,Aman Sharma,P00026,Sunglasses,Toys & Games,NexPro,1,392.71,0.1,42.41,7.82,403.67,Debit Card,Delivered,San Jose,CA,United States,SELL00376,392.71,39.271,403.669,303.209,0.772093912,2024,1,January,Thursday,1,0
ORD0000078,22-12-2023,CUST028956,Kabir Patel,P00011,Fitness Band,Electronics,ReadMore,1,592.91,0.05,28.16,6.83,598.25,Cash on Delivery,Delivered,Dallas,TX,United States,SELL00112,592.91,29.6455,598.2545,528.2745,0.890985984,2023,12,December,Friday,4,0
ORD0000079,23-05-2021,CUST001710,Neha Sharma,P00009,Portable SSD 1TB,Home & Kitchen,CoreTech,2,76.97,0,7.7,4.91,166.55,Debit Card,Delivered,Chicago,IL,Australia,SELL00917,153.94,0,166.55,141.33,0.918084968,2021,5,May,Sunday,2,0
ORD0000080,14-02-2022,CUST023701,Vihaan Patel,P00007,Mechanical Keyboard,Electronics,CoreTech,1,534.31,0.1,57.71,14.47,553.06,Amazon Pay,Shipped,San Francisco,CA,India,SELL01174,534.31,53.431,553.059,408.699,0.764909884,2022,2,February,Monday,1,0
ORD0000081,04-02-2020,CUST005263,Priya Kumar,P00010,Smartwatch,Toys & Games,BrightLux,2,402.77,0.05,38.26,13.08,816.6,UPI,Delivered,Austin,TX,India,SELL00371,805.54,40.277,816.603,713.923,0.886266355,2020,2,February,Tuesday,1,0
ORD0000082,24-07-2020,CUST014979,Vivaan Kumar,P00030,Dress Shirt,Home & Kitchen,ReadMore,3,335.1,0.1,72.38,4.24,981.39,Amazon Pay,Shipped,Chicago,IL,United States,SELL00077,1005.3,100.53,981.39,828.15,0.823783945,2020,7,July,Friday,3,0
ORD0000083,09-01-2023,CUST038225,Ritika Verma,P00016,Air Fryer,Books,UrbanStyle,3,258.13,0.05,132.42,7.69,875.78,UPI,Delivered,Austin,TX,United States,SELL01872,774.39,38.7195,875.7805,595.5605,0.769070494,2023,1,January,Monday,1,0
ORD0000084,04-05-2024,CUST028769,Aditya Joshi,P00040,Microphone,Sports & Outdoors,KiddoFun,1,594.67,0.15,40.44,7.22,553.13,Debit Card,Delivered,Fort Worth,TX,United States,SELL00198,594.67,89.2005,553.1295,457.8095,0.769854709,2024,5,May,Saturday,2,0
ORD0000085,12-11-2023,CUST049605,Aditya Reddy,P00036,Smart Light Bulb,Electronics,HomeEase,4,494.13,0.05,225.32,7.18,2110.19,Credit Card,Delivered,Austin,TX,United States,SELL00087,1976.52,98.826,2110.194,1645.194,0.832369012,2023,11,November,Sunday,4,0
ORD0000086,22-10-2022,CUST015624,Arjun Singh,P00017,Electric Kettle,Sports & Outdoors,KiddoFun,4,15.47,0.05,10.58,3.91,73.28,Credit Card,Shipped,Houston,TX,United States,SELL01618,61.88,3.094,73.276,44.296,0.715837104,2022,10,October,Saturday,4,0
ORD0000087,18-10-2022,CUST026490,Neha Reddy,P00017,Electric Kettle,Sports & Outdoors,UrbanStyle,4,28.59,0,20.58,13.02,147.96,Credit Card,Delivered,Los Angeles,CA,United States,SELL01735,114.36,0,147.96,80.76,0.706190976,2022,10,October,Tuesday,4,0
ORD0000088,14-11-2023,CUST001370,Mohit Gupta,P00023,Cookware Set,Electronics,HomeEase,5,456.58,0.15,155.24,7.48,2103.18,Amazon Pay,Delivered,Philadelphia,PA,Canada,SELL01951,2282.9,342.435,2103.185,1777.745,0.778722239,2023,11,November,Tuesday,4,0
ORD0000089,19-07-2021,CUST043394,Aman Kapoor,P00029,T-Shirt,Books,Zenith,3,324.31,0.2,62.27,4.63,845.24,Debit Card,Delivered,Denver,CO,United States,SELL00041,972.93,194.586,845.244,711.444,0.73123863,2021,7,July,Monday,3,0
ORD0000090,03-02-2023,CUST039077,Karan Kumar,P00015,Instant Pot,Books,ReadMore,5,342.26,0.2,109.52,7.29,1485.85,Credit Card,Pending,Fort Worth,TX,United States,SELL00271,1711.3,342.26,1485.85,1252.23,0.731741951,2023,2,February,Friday,1,0
ORD0000091,30-11-2024,CUST007564,Sahil Kumar,P00016,Air Fryer,Clothing,NexPro,5,201.16,0.2,64.37,9.38,878.39,UPI,Delivered,Denver,CO,United States,SELL00155,1005.8,201.16,878.39,730.89,0.726675283,2024,11,November,Saturday,4,0
ORD0000092,09-02-2024,CUST033299,Priya Mehta,P00045,Phone Tripod,Sports & Outdoors,ReadMore,4,555.99,0.05,253.53,1.26,2367.55,Net Banking,Cancelled,Dallas,TX,United States,SELL01704,2223.96,111.198,2367.552,1857.972,0.835434091,2024,2,February,Friday,1,0
ORD0000093,03-12-2021,CUST039707,Vikas Joshi,P00022,Water Bottle,Home & Kitchen,UrbanStyle,5,138.56,0.2,27.71,7.71,589.66,UPI,Shipped,San Francisco,CA,United States,SELL00861,692.8,138.56,589.66,518.82,0.748874134,2021,12,December,Friday,4,0
ORD0000094,05-02-2021,CUST043458,Aman Joshi,P00048,Wireless Charger,Clothing,HomeEase,4,409.78,0,295.04,14.29,1948.45,UPI,Shipped,Dallas,TX,United States,SELL00572,1639.12,0,1948.45,1329.79,0.811282883,2021,2,February,Friday,1,0
ORD0000095,30-12-2021,CUST001552,Vihaan Kumar,P00045,Phone Tripod,Electronics,KiddoFun,4,42.31,0.1,12.19,1.28,165.79,Amazon Pay,Delivered,Chicago,IL,United States,SELL01732,169.24,16.924,165.786,138.846,0.820408887,2021,12,December,Thursday,4,0
ORD0000096,28-04-2024,CUST039426,Sneha Verma,P00043,HDMI Cable 2m,Electronics,NexPro,1,170.88,0.2,16.4,7.6,160.7,Credit Card,Delivered,Charlotte,NC,United States,SELL01461,170.88,34.176,160.704,112.704,0.659550562,2024,4,April,Sunday,2,0
